item ,version,center_embedding,passive,header,continuation,locus of uncertainty 
Storm Damage,uncovered,yes,yes,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident that occurs with lightning that is created by a storm results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,uncovered,yes,no,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident that occurs with a storm that creates lightning results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,uncovered,no,no,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with a storm that creates lightning. This incident results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,uncovered,no,yes,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with lightning that is created by a storm. This incident results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,covered,yes,yes,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident that occurs with lightning that is created by a storm results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,covered,yes,no,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident that occurs with a storm that creates lightning results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,covered,no,no,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with a storm that creates lightning. This incident results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,covered,no,yes,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with lightning that is created by a storm. This incident results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,controversial,yes,yes,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident that occurs with lightning that is created by a storm results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,controversial,yes,no,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident that occurs with a storm that creates lightning results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,controversial,no,no,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with a storm that creates lightning. This incident results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Storm Damage,controversial,no,yes,"Cam has insurance that covers ""Storm Damage."" A ""Storm Damage"" event is defined as follows: <b> ""An incident occurs with lightning that is created by a storm. This incident results in damage to the policyholder's property.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage.",created by 
Vehicle Fire,uncovered,yes,yes,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with a fire or explosion that is instigated by an outside force results in damage to the policyholder's vehicle.""</b>","One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,uncovered,yes,no,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with an outside force that instigates a fire or explosion results in damage to the policyholder's vehicle.""</b>","One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,uncovered,no,no,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident occurs with an outside force that instigates a fire or explosion. This incident results in damage to the policyholder's vehicle.""</b>","One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,uncovered,no,yes,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident occurs with a fire or explosion that is instigated by an outside force. This incident results in damage to the policyholder's property.""</b>","One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,covered,yes,yes,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with a fire or explosion that is instigated by an outside force results in damage to the policyholder's vehicle.""</b>","One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,covered,yes,no,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with an outside force that instigates a fire or explosion results in damage to the policyholder's vehicle.""</b>","One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,covered,no,no,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident occurs with an outside force that instigates a fire or explosion. This incident results in damage to the policyholder's vehicle.""</b>","One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,covered,no,yes,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident occurs with a fire or explosion that is instigated by an outside force. This incident results in damage to the policyholder's property.""</b>","One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,controversial,yes,yes,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with a fire or explosion that is instigated by an outside force results in damage to the policyholder's vehicle.""</b>","One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,controversial,yes,no,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident that occurs with an outside force that instigates a fire or explosion results in damage to the policyholder's vehicle.""</b>","One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,controversial,no,no,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident occurs with an outside force that instigates a fire or explosion. This incident results in damage to the policyholder's vehicle.""</b>","One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",fire 
Vehicle Fire,controversial,no,yes,"Ken has insurance that covers ""Vehicle Fire."" A ""Vehicle Fire"" incident is defined as follows: <b>""An incident occurs with a fire or explosion that is instigated by an outside force. This incident results in damage to the policyholder's property.""</b>","One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",fire 
Personal Accident,uncovered,yes,yes,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident that occurs with an accidental injury that is produced in a vehicular collision results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. After buying groceries, she injures her wrist when she lifts a heavy grocery bag into her car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,uncovered,yes,no,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident that occurs with a vehicular collision that produces an accidental injury results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. After buying groceries, she injures her wrist when she lifts a heavy grocery bag into her car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,uncovered,no,no,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident occurs with a vehicular collision that produces an accidental injury. This incident results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. After buying groceries, she injures her wrist when she lifts a heavy grocery bag into her car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,uncovered,no,yes,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident occurs with an accidental injury that is produced in a vehicular collision. This incident results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. After buying groceries, she injures her wrist when she lifts a heavy grocery bag into her car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,covered,yes,yes,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident that occurs with an accidental injury that is produced in a vehicular collision results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,covered,yes,no,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident that occurs with a vehicular collision that produces an accidental injury results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,covered,no,no,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident occurs with a vehicular collision that produces an accidental injury. This incident results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,covered,no,yes,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident occurs with an accidental injury that is produced in a vehicular collision. This incident results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. While looking for a parking space, she injures her wrist when her SUV collides with another car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,controversial,yes,yes,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident that occurs with an accidental injury that is produced in a vehicular collision results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. After she parks the car, she injures her wrist when she opens her driver-side door into an oncoming car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,controversial,yes,no,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident that occurs with a vehicular collision that produces an accidental injury results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. After she parks the car, she injures her wrist when she opens her driver-side door into an oncoming car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,controversial,no,no,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident occurs with a vehicular collision that produces an accidental injury. This incident results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. After she parks the car, she injures her wrist when she opens her driver-side door into an oncoming car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
Personal Accident,controversial,no,yes,"Gwen has insurance that covers a ""Personal Accident."" A ""Personal Accident"" event is defined as follows: <b> ""An incident occurs with an accidental injury that is produced in a vehicular collision. This incident results in damage to the policyholder's person.""</b>","One day, Gwen drives her SUV to the grocery store. After she parks the car, she injures her wrist when she opens her driver-side door into an oncoming car. This incident ultimately leads to thousands of dollars in medical expenses. Gwen files a claim with her insurance company for the damages.",vehicular collision
House Removal,uncovered,yes,yes,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs with belongings from the policyholder's home that are removed by professional removal contractors causes damage to the policyholder's belongings.""</b>","Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,uncovered,yes,no,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs with professional removal contractors that remove belongings from the policyholder's home causes damage to the policyholder's property."" </b>","Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,uncovered,no,no,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with professional removal contractors that remove belongings from the policyholder's home. This incident causes damage to the policyholder's belongings."" </b>","Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,uncovered,no,yes,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with belongings from the policyholder's home that are removed by professional removal contractors. This incident causes damage to the policyholder's belongings.""</b>","Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,covered,yes,yes,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs with belongings from the policyholder's home that are removed by professional removal contractors causes damage to the policyholder's belongings.""</b>","Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,covered,yes,no,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs with professional removal contractors that remove belongings from the policyholder's home causes damage to the policyholder's property."" </b>","Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,covered,no,no,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with professional removal contractors that remove belongings from the policyholder's home. This incident causes damage to the policyholder's belongings."" </b>","Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,covered,no,yes,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with belongings from the policyholder's home that are removed by professional removal contractors. This incident causes damage to the policyholder's belongings.""</b>","Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,controversial,yes,yes,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs with belongings from the policyholder's home that are removed by professional removal contractors causes damage to the policyholder's belongings.""</b>","Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,controversial,yes,no,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident that occurs with professional removal contractors that remove belongings from the policyholder's home causes damage to the policyholder's property."" </b>","Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,controversial,no,no,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with professional removal contractors that remove belongings from the policyholder's home. This incident causes damage to the policyholder's belongings."" </b>","Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
House Removal,controversial,no,yes,"Denise has insurance that covers ""House Removal."" A ""House Removal"" event is defined as follows: <b> ""An incident occurs with belongings from the policyholder's home that are removed by professional removal contractors. This incident causes damage to the policyholder's belongings.""</b>","Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",professional removal contractors
General Damages,uncovered,yes,yes,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident that occurs with an injury to the policyholder that is incurred during regular working conditions results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,uncovered,yes,no,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident that occurs during regular working conditions that incurs an injury to the policyholder results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,uncovered,no,no,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident occurs during regular working conditions that incurs an injury to the policyholder. This incident results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,uncovered,no,yes,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident occurs with an injury that is incurred by regular working conditions for the policyholder. This incident results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,covered,yes,yes,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident that occurs with an injury to the policyholder that is incurred during regular working conditions results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,covered,yes,no,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident that occurs during regular working conditions that incurs an injury to the policyholder results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,covered,no,no,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident occurs during regular working conditions that incurs an injury to the policyholder. This incident results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,covered,no,yes,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident occurs with an injury that is incurred by regular working conditions for the policyholder. This incident results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,controversial,yes,yes,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident that occurs with an injury to the policyholder that is incurred during regular working conditions results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,controversial,yes,no,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident that occurs during regular working conditions that incurs an injury to the policyholder results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,controversial,no,no,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident occurs during regular working conditions that incurs an injury to the policyholder. This incident results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
General Damages,controversial,no,yes,"Gavin has insurance that covers ""General Damages."" A ""General Damages'' event is defined as follows: <b> ""An accident occurs with an injury that is incurred by regular working conditions for the policyholder. This incident results in missed employment for the policyholder.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",regular working conditions 
Escape Of Water,uncovered,yes,yes,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water'' event is defined as follows: <b> ""An incident that occurs with water that is abruptly and unexpectedly leaked from an internal source results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Escape Of Water,uncovered,yes,no,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water"" event is defined as follows: <b> ""An incident that occurs with an internal source that abruptly and unexpectedly leaks water results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
Escape Of Water,uncovered,no,no,"Carol has insurance that covers ""Escape of Water."" An ""Escape of Water'' event is defined as follows: <b> ""An incident occurs whereby an internal source abruptly and unexpectedly leaks water. This incident results in damage to the policyholder's property.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,abruptly and unexpectedly 
